EEMMM,FECHA_DEF_CT,INTUBADO_CT,NEUMONIA_CT,EMBARAZO_CT,HABLA_LENGUA_INDIG_CT,DIABETES_CT,EPOC_CT,ASMA_CT,INMUSUPR_CT,HIPERTENSION_CT,OTRA_COM_CT,CARDIOVASCULAR_CT,OBESIDAD_CT,RENAL_CRONICA_CT,TABAQUISMO_CT,OTRO_CASO_CT,RESULTADO_POS,RESULTADO_NEG,RESULTADO_PDT,MUJERES_CT,HOMBRES_CT,LONGITUD,LATITUD,NOM_ENT,NOM_MUN
21153,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.96822819384438,18.88700452638226,Puebla,Tecali de Herrera
21154,0,1,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,0,-97.73122030092603,18.85930268774183,Puebla,Tecamachalco
21155,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,-98.31433560422211,18.05290339012775,Puebla,Tecomatlán
21156,2,0,7,0,2,3,2,2,0,4,3,1,14,0,4,4,5,52,11,2,3,-97.44508376495187,18.46128764974016,Puebla,Tehuacán
21157,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,-98.30395120757413,18.35319017358841,Puebla,Tehuitzingo
21158,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.4016047886073,20.1892034023991,Puebla,Tenampulco
21161,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-97.54301562175569,18.55389625883562,Puebla,Tepanco de López
21163,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,-98.00360129309502,19.14522390750494,Puebla,Tepatlaxco de Hidalgo
21164,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3,0,0,1,-97.87616382535045,19.01192894578225,Puebla,Tepeaca
21166,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,-98.43127477744768,18.72177251308066,Puebla,Tepeojuma
21167,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,-97.85304313508564,19.94949040984392,Puebla,Tepetzintla
21169,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,-97.93733911291069,18.49674862488672,Puebla,Tepexi de Rodríguez
21170,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-97.46327500455902,19.47960806550173,Puebla,Tepeyahualco
21172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.78573372009477,19.81821105865308,Puebla,Tetela de Ocampo
21174,0,1,9,0,0,4,2,1,3,5,2,4,3,0,1,8,3,14,3,0,3,-97.35857551245488,19.86380578916227,Puebla,Teziutlán
21176,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,-98.5419909396762,18.61430198846794,Puebla,Tilapa
21177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-97.62887090141493,18.65570959211495,Puebla,Tlacotepec de Benito Juárez
21179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-97.35212021805897,19.1336119381693,Puebla,Tlachichuca
21180,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-98.58532173143593,19.36228299116031,Puebla,Tlahuapan
21181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-98.34284210830948,19.15649691790039,Puebla,Tlaltenango
21182,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-97.88532077700845,18.85701012985458,Puebla,Tlanepantla
21185,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,-98.53619712462816,18.68996459884828,Puebla,Tlapanalá
21186,0,1,2,0,0,2,1,0,0,1,0,0,1,0,0,1,0,3,0,0,0,-97.49934788398723,19.84214085011245,Puebla,Tlatlauquitepec
21188,0,0,1,0,1,0,1,0,0,2,0,0,2,0,1,0,0,2,0,0,0,-98.61220578236923,18.92246749139178,Puebla,Tochimilco
21191,0,0,2,0,0,3,1,1,0,4,3,1,4,1,1,9,8,3,3,4,4,-98.39755934018177,17.97507785983559,Puebla,Tulcingo
21194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-97.68724405997438,20.50835083637416,Puebla,Venustiano Carranza
21197,0,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,1,2,0,1,0,-97.90262658035246,20.32661794909736,Puebla,Xicotepec
21208,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,0,0,-97.99901149256947,19.96491988891248,Puebla,Zacatlán
21211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-97.56857217449561,19.74726107299047,Puebla,Zaragoza
21212,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,1,3,0,0,1,-97.68268745871119,19.71429803414682,Puebla,Zautla
21214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-97.22247260103889,18.32743779454657,Puebla,Zinacatepec
22001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-100.0986326808411,20.17491047012411,Querétaro,Amealco de Bonfil
22002,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,-99.5926880118261,21.1417418476753,Querétaro,Pinal de Amoles
22003,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,0,4,1,0,0,-99.63560432975821,21.40923859374538,Querétaro,Arroyo Seco
22004,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,2,0,6,0,0,0,-99.65702605560374,20.79138472952982,Querétaro,Cadereyta de Montes
22005,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,-100.1005707008731,20.75826715810968,Querétaro,Colón
22006,0,0,5,0,0,9,0,3,2,4,8,1,8,1,9,19,8,42,2,3,5,-100.441074888378,20.48544207326988,Querétaro,Corregidora
22007,0,1,4,0,0,1,0,0,0,2,1,0,2,0,2,2,0,6,0,0,0,-99.86668859763083,20.64928261892561,Querétaro,Ezequiel Montes
22008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,-100.3142128749755,20.40384376281243,Querétaro,Huimilpan
22009,0,1,2,0,0,3,1,0,0,2,0,0,2,0,1,3,0,7,1,0,0,-99.3315905105546,21.37457277200059,Querétaro,Jalpan de Serra
22011,1,2,2,0,0,6,0,2,2,4,3,1,4,2,3,13,5,42,2,1,4,-100.2786175133367,20.72022828811657,Querétaro,El Marqués
